track_name1,track_name2,sim
Breathe,"Breathe Me",0.53
"It's My Life","My Life",0.67
Yellow,"Bodak Yellow",0.54
Higher,"Higher Love",0.53
"Shape of My Heart","Half of My Heart",0.56
"Party Up",Up,0.56
"My Love","My Love Is Like...Wo",0.52
"My Love","My My My",0.55
"Try Again",Again,0.54
"I Wanna Know","I Wanna Go",0.51
"I Wanna Know","Do I Wanna Know?",0.73
"Beautiful Day","It's a Beautiful Day",0.51
"I Need You","Need You Now",0.57
"Life Is A Rollercoaster","Life is a Highway",0.69
"Hey Baby (Radio Mix)","Hey Baby",0.51
"Where I Wanna Be","I Wanna Be Yours",0.56
"Never Be The Same Again","Never Be the Same",0.73
"The Way You Love Me","Let Me Love You",0.52
"The Way You Love Me","Love The Way You Lie",0.61
"The Way You Love Me","Let Me Love You",0.52
"Don't Call Me Baby","Don't Call Me Up",0.6
"Don't Call Me Baby","Baby Don't Hurt Me",0.63
"There You Go","Take You There",0.54
"Be With You","I'm with You",0.55
"Be With You","With You",0.67
"Be With You","Be Kind (with Halsey)",0.51
"No More","No More Drama",0.67
"No More","Lonely No More",0.75
"You Sang To Me","Lose You To Love Me",0.51
"It Wasn't Me","Blame It on Me",0.54
"The Middle",Middle,0.59
"The Middle","MIDDLE OF THE NIGHT",0.55
Drive,"Drive By",0.56
"One More Time","One Time",0.62
"One More Time","One More Night",0.51
"One More Time","One Last Time",0.51
"Smooth Criminal",Criminal,0.58
"U Remind Me","Me & U",0.51
Butterfly,"BUTTERFLY EFFECT",0.63
Survivor,"Soul Survivor",0.57
Again,"Whole Again",0.56
Again,"LOVE AGAIN",0.52
"Out Of Reach","Out of Time",0.51
"Uptown Girl - Radio Edit","Starlight - Radio Edit",0.54
"Uptown Girl - Radio Edit","Overprotected - Radio Edit",0.58
"Uptown Girl - Radio Edit","Pjanoo - Radio Edit",0.59
"Uptown Girl - Radio Edit","One - Radio Edit",0.56
"Uptown Girl - Radio Edit","Bromance - Avicii's Radio Edit",0.52
"Uptown Girl - Radio Edit","Levels - Radio Edit",0.58
"Uptown Girl - Radio Edit","Animals - Radio Edit",0.57
"Uptown Girl - Radio Edit","Reload - Radio Edit",0.56
"Put It On Me","Put On",0.51
"Put It On Me","Blame It on Me",0.59
"All For You","All You Wanted",0.53
"All For You","All About You",0.57
"All For You","Fallin' For You",0.53
"All For You","All For Us",0.55
"Starlight - Radio Edit","Overprotected - Radio Edit",0.62
"Starlight - Radio Edit","Scandalous - U.S. Radio Edit",0.51
"Starlight - Radio Edit","Pjanoo - Radio Edit",0.64
"Starlight - Radio Edit","Gold Dust - Radio Edit",0.54
"Starlight - Radio Edit","One - Radio Edit",0.59
"Starlight - Radio Edit","Bromance - Avicii's Radio Edit",0.58
"Starlight - Radio Edit","Levels - Radio Edit",0.62
"Starlight - Radio Edit","Animals - Radio Edit",0.66
"Starlight - Radio Edit","Reload - Radio Edit",0.62
"Starlight - Radio Edit","Gecko (Overdrive) - Radio Edit",0.57
"What Would You Do?","What Do You Mean?",0.63
"Ain't It Funny","Ain't It Fun",0.55
Love,"One Love",0.55
Love,"Tainted Love",0.53
Love,"Sexy Love",0.55
Love,"Love Song",0.54
Love,"Love Story",0.53
Love,"Love Drunk",0.53
Love,"Another Love",0.53
Love,"Love Myself",0.51
"No More Drama","Lonely No More",0.54
"A Thousand Miles","a thousand years",0.57
"A Thousand Miles","Thousand Miles",0.64
"Can't Stop","We Can't Stop",0.73
"By the Way","The Way",0.71
"My Sacrifice",Sacrifice,0.51
"In My Place","My Place",0.64
"In My Place","In My Blood",0.51
"One Love",Love,0.55
"Like I Love You","I Love You",0.7
"Like I Love You","I Wanna Love You",0.52
"Like I Love You","Love You Like A Love Song",0.56
"Like I Love You","I Really Like You",0.63
"Overprotected - Radio Edit","Scandalous - U.S. Radio Edit",0.51
"Overprotected - Radio Edit","Lola's Theme - Radio Edit",0.55
"Overprotected - Radio Edit","Destination Calabria - Radio Edit",0.53
"Overprotected - Radio Edit","Pjanoo - Radio Edit",0.64
"Overprotected - Radio Edit","Gold Dust - Radio Edit",0.54
"Overprotected - Radio Edit","One - Radio Edit",0.59
"Overprotected - Radio Edit","Bromance - Avicii's Radio Edit",0.56
"Overprotected - Radio Edit","Levels - Radio Edit",0.62
"Overprotected - Radio Edit","Animals - Radio Edit",0.63
"Overprotected - Radio Edit","Reload - Radio Edit",0.61
"Overprotected - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
"Tainted Love",Love,0.53
"All You Wanted","All About You",0.53
"Hey Baby",Baby,0.58
"Hey Baby",Baby,0.58
"When You Look At Me - Radio Edit","Are You With Me - Radio Edit",0.54
"I Love You","I Wanna Love You",0.69
"I Love You","Hate That I Love You",0.61
"I Love You","I Love College",0.51
"If You're Not The One","I'm Not The Only One",0.52
"Crazy In Love (feat. Jay-Z)","Drunk in Love (feat. Jay-Z)",0.67
"Rock Your Body","Your Body",0.66
"When I'm Gone","When You're Gone",0.53
"When I'm Gone","When You're Gone",0.53
"I'm with You","With You",0.7
"I Miss You","Miss You",0.72
Beautiful,"Beautiful Girls",0.52
Beautiful,"Beautiful Liar",0.52
"Into You (feat. Tamia)","Into You",0.52
"Like Glue","Stuck Like Glue",0.69
Beautiful,"Beautiful Girls",0.52
Beautiful,"Beautiful Liar",0.52
"How You Gonna Act Like That","How You Like That",0.66
"So Gone","Gone, Gone, Gone",0.53
"Stand Up",Up,0.54
"It's My Life","My Life",0.67
"Say Yes",Say,0.54
"Scandalous - U.S. Radio Edit","Pjanoo - Radio Edit",0.53
"Scandalous - U.S. Radio Edit","Gold Dust - Radio Edit",0.51
"Scandalous - U.S. Radio Edit","Levels - Radio Edit",0.52
"Make Luv",LUV,0.53
"I Can","Sexy Can I",0.76
"I Can","Like I Can",0.64
"Excuse Me Miss","Yo (Excuse Me Miss)",0.81
"Rain On Me","Easy On Me",0.52
"Rain On Me","Easy On Me",0.52
"Rain On Me","Lovin On Me",0.54
"My Love Is Like...Wo","Your Love Is My Drug",0.51
"My Love Is Like...Wo","My Love",0.52
"This Love","This Is Love",0.66
"This Love","Kill This Love",0.68
"My Boo","My My My",0.56
"My Band","My My My",0.51
"Live Like You Were Dying","Live Like We're Dying",0.8
"Mad World",Mad,0.53
"Locked Up",Up,0.54
"Lola's Theme - Radio Edit","Pjanoo - Radio Edit",0.54
"Lola's Theme - Radio Edit","One - Radio Edit",0.53
"Lola's Theme - Radio Edit","Levels - Radio Edit",0.52
"Lola's Theme - Radio Edit","Animals - Radio Edit",0.52
"Lola's Theme - Radio Edit","Reload - Radio Edit",0.56
"Me, Myself and I","Me, Myself & I",0.56
"I Like That","I Like It",0.52
"I Like That","I Like It",0.52
"Come With Me - Radio Edit","Are You With Me - Radio Edit",0.76
"On Fire","Sex on Fire",0.67
"On Fire","Girl on Fire",0.69
"Pieces Of Me","Part Of Me",0.53
"Let Me Love You","As Long As You Love Me",0.51
"Let Me Love You","Love Me",0.55
"The Kill","In For The Kill",0.54
"Best of You","Because of You",0.53
"Best of You","Because Of You",0.53
"Hung Up",Up,0.56
"Wake Me up When September Ends","Wake Me Up",0.56
"You And Me","You Found Me",0.54
"Better Together",Better,0.56
"Caught Up",Up,0.54
"Grind With Me","Stay With Me",0.55
"Over And Over",Over,0.56
"Get Back","get him back!",0.66
"Your Body",Body,0.55
"Your Body",Body,0.55
Girl,"Party Girl",0.53
Love,"Sexy Love",0.55
Love,"Love Song",0.54
Love,"Love Story",0.53
Love,"Love Drunk",0.53
Love,"Another Love",0.53
Love,"Love Myself",0.51
"Put Your Records On","Put On",0.57
"Dance, Dance","One Dance",0.54
"When You Were Young","When We Were Young",0.65
"Love Generation - Radio Edit","Stereo Love - Radio Edit",0.63
"My My My","My Love",0.55
"My My My","My House",0.58
"My My My","My Universe",0.51
One,"No One",0.51
"What You Know","What You Know Bout Love",0.57
"What You Know","What You Know Bout Love",0.57
"Deja Vu (feat. Jay-Z)","deja vu",0.51
"Do It To It","Do It Again",0.56
"When I'm Gone","When You're Gone",0.53
"When I'm Gone","When You're Gone",0.53
"Money Maker",Money,0.53
"Money Maker",MONEY,0.53
"No Promises",NO,0.54
"The Sweet Escape","The Great Escape",0.58
"The Way I Are","The Way I Live",0.6
"The Way I Are","Just the Way You Are",0.52
"Say It Right","Right Above It",0.51
"Say It Right","Say It",0.67
"Bleed It Out","Walk It Out",0.57
"Bleed It Out","Shake It Out",0.55
"Beautiful Girls",Beautiful,0.52
"Destination Calabria - Radio Edit","Animals - Radio Edit",0.52
"Misery Business",Misery,0.52
You,"Marry You",0.51
"Kiss Kiss (feat. T-Pain)","Low (feat. T-Pain)",0.51
"Don't Matter",Don't,0.6
"Don't Matter",Don't,0.6
"Beautiful Liar",Beautiful,0.52
"Shut Up And Drive","Shut Up and Dance",0.6
"Cry for You","Wait for You",0.51
"Cry for You","Fall for You",0.51
"Cry for You","Fallin' For You",0.55
"Summer Love",Summer,0.55
"Lost Without U","Lost Without You",0.53
"Let It Go","LET GO",0.66
"Better Than Me","Make Me Better",0.56
"Grace Kelly",Grace,0.62
"Walk It Out","Shake It Out",0.56
"Ayo Technology",Ayo,0.51
"Wait for You","Fall for You",0.54
"Wait for You","Fallin' For You",0.55
"The Way I Live","The Way",0.54
"With You","You Belong With Me",0.55
"Sex on Fire","Girl on Fire",0.53
Kids,"Cool Kids",0.56
Forever,"Young Forever",0.56
Human,"Only Human",0.56
"Whatever You Like","Someone Like You",0.52
"See You Again","See You Again (feat. Charlie Puth)",0.51
"Burnin' Up",Up,0.62
"Put On","Put Your Records On",0.57
"Pjanoo - Radio Edit","Gold Dust - Radio Edit",0.55
"Pjanoo - Radio Edit","One - Radio Edit",0.62
"Pjanoo - Radio Edit","Bromance - Avicii's Radio Edit",0.57
"Pjanoo - Radio Edit","Mr. Saxobeat - Radio Edit",0.51
"Pjanoo - Radio Edit","Levels - Radio Edit",0.68
"Pjanoo - Radio Edit","Million Voices - Radio Edit",0.52
"Pjanoo - Radio Edit","Animals - Radio Edit",0.66
"Pjanoo - Radio Edit","Reload - Radio Edit",0.67
"Pjanoo - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
"Pjanoo - Radio Edit","Sweet Lovin' - Radio Edit",0.53
"Shake It","Shake It Out",0.72
"Shake It","Shake It Off",0.68
"Fall for You","Fallin' For You",0.55
"Sexy Can I","Like I Can",0.55
Say,"Never Say Never",0.62
Say,"Whatcha Say",0.53
Say,"Say It",0.53
"My Life","Story of My Life",0.52
"Got Money",Money,0.55
"Got Money",MONEY,0.55
"Love Story","Love Story (Taylorï¿½s Version)",0.54
Down,"Shut Down",0.55
Monster,"Beautiful Monster",0.59
Monster,"The Monster",0.6
"Best I Ever Had","Best Thing I Never Had",0.52
Forever,"Young Forever",0.56
"One Time","One Last Time",0.72
"Please Don't Leave Me","Please Me",0.58
"What You Know","What You Know Bout Love",0.57
"What You Know","What You Know Bout Love",0.57
"Just A Dream","Just A Kiss",0.52
"Billionaire (feat. Bruno Mars)","Uptown Funk (feat. Bruno Mars)",0.51
"Break Your Heart","Give Your Heart a Break",0.57
"I Need A Dollar","I Need A Doctor",0.65
"I Like It","You Know You Like It",0.51
"If I Die Young","Die Young",0.59
"Forget You","Never Forget You",0.7
"Gold Dust - Radio Edit","One - Radio Edit",0.54
"Gold Dust - Radio Edit","Bromance - Avicii's Radio Edit",0.51
"Gold Dust - Radio Edit","Levels - Radio Edit",0.54
"Gold Dust - Radio Edit","Animals - Radio Edit",0.55
"Gold Dust - Radio Edit","Reload - Radio Edit",0.53
"In My Head","In My Blood",0.53
"Dancing On My Own - Radio Edit","Dancing On My Own",0.55
"One - Radio Edit","Bromance - Avicii's Radio Edit",0.57
"One - Radio Edit","Levels - Radio Edit",0.62
"One - Radio Edit","Animals - Radio Edit",0.62
"One - Radio Edit","Reload - Radio Edit",0.61
"One - Radio Edit","Gecko (Overdrive) - Radio Edit",0.54
"Bromance - Avicii's Radio Edit","Levels - Radio Edit",0.55
"Bromance - Avicii's Radio Edit","Animals - Radio Edit",0.58
"Bromance - Avicii's Radio Edit","Reload - Radio Edit",0.57
"Bromance - Avicii's Radio Edit","Gecko (Overdrive) - Radio Edit",0.52
Higher,"Higher Love",0.53
"Down On Me","Drag Me Down",0.52
"Down On Me","Lay Me Down",0.56
"Sweat - Remix","Jealous - Remix",0.57
"Sweat - Remix","Calma - Remix",0.52
"Mr. Saxobeat - Radio Edit","Animals - Radio Edit",0.52
"I Won't Let You Go","Say You Won't Let Go",0.65
"Without You (feat. Usher)","Without You (feat. Sandro Cavazza)",0.54
"F**kin' Perfect",Perfect,0.53
"F**kin' Perfect",Perfect,0.53
"Shake It Out","Shake It Off",0.53
"Roll Up",Up,0.62
"Levels - Radio Edit","Million Voices - Radio Edit",0.53
"Levels - Radio Edit","Animals - Radio Edit",0.63
"Levels - Radio Edit","Reload - Radio Edit",0.64
"Levels - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
Lost,"Lost Boy",0.54
"Part Of Me","All of Me",0.54
"Titanium (feat. Sia)","ON (Feat. Sia)",0.54
"Million Voices - Radio Edit","Animals - Radio Edit",0.54
"Million Voices - Radio Edit","Reload - Radio Edit",0.51
"As Long As You Love Me","Let Me Love You",0.51
"Love Me","Love Me Again",0.7
"Love Me","Love Me Harder",0.64
"Love Me","Let Me Love You",0.55
"Love Me","I Love Me",0.7
"Still into You","Into You",0.78
"Let Her Go","LET GO",0.73
"Animals - Radio Edit","Reload - Radio Edit",0.65
"Animals - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
"Animals - Radio Edit","Sweet Lovin' - Radio Edit",0.52
"Love Me Again","I Love Me",0.56
"Love Me Again","LOVE AGAIN",0.61
"Reload - Radio Edit","Gecko (Overdrive) - Radio Edit",0.54
"Body Party",Body,0.54
"Body Party",Body,0.54
"Bad (feat. Rihanna) - Remix","Djadja (feat. Maluma) - Remix",0.51
"Holy Grail",H.O.L.Y.,0.52
"Of The Night","In The Night",0.53
"Of The Night","MIDDLE OF THE NIGHT",0.7
"La La La","La Bachata",0.55
"La La La","La Jumpa",0.59
Summer,"Cruel Summer",0.52
"Stay With Me","Here With Me",0.51
"Stay With Me","Here With Me",0.51
Sugar,"Watermelon Sugar",0.53
"Love Me Harder","I Love Me",0.55
"Waves - Robin Schulz Radio Edit","Prayer in C - Robin Schulz Radio Edit",0.55
Don't,"Don't Mind",0.55
Magic,"Black Magic",0.53
"Man Of The Year","The Man",0.51
"You Know You Like It","I Like It",0.51
"Up (feat. Demi Lovato)","Solo (feat. Demi Lovato)",0.58
"Jealous - Remix","Calma - Remix",0.55
"Talking Body",Body,0.56
"Talking Body",Body,0.56
Somebody,"Somebody Else",0.51
"Money On My Mind","On My Mind",0.73
"I Will Never Let You Down","Let You Down",0.53
Don't,"Don't Mind",0.55
"Drag Me Down","Lay Me Down",0.52
Perfect,"Perfect Strangers",0.53
"Stole the Show","The Greatest Show",0.55
"No Type",NO,0.61
"Honey, I'm Good.","I'm Good (Blue)",0.52
"Let It Go","LET GO",0.66
"On My Mind","On My Mama",0.51
"Don't Let Me Down","Let Me Down Slowly",0.6
"Work from Home (feat. Ty Dolla $ign)","Psycho (feat. Ty Dolla $ign)",0.54
Middle,"The Middle",0.59
Middle,"MIDDLE CHILD",0.51
NO,"No Money",0.52
"Perfect Strangers",Perfect,0.53
"Dangerous Woman",Woman,0.52
"Cold Water",Water,0.55
"Havana (feat. Young Thug)","Goodbyes (feat. Young Thug)",0.58
"Havana (feat. Young Thug)","pushin P (feat. Young Thug)",0.52
"That's What I Like","THATS WHAT I WANT",0.57
Human,"Only Human",0.56
"rockstar (feat. 21 Savage)","Jimmy Cooks (feat. 21 Savage)",0.53
"Better Now",Better,0.55
"In My Mind","In My Blood",0.51
"The Middle","MIDDLE OF THE NIGHT",0.55
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0.76
"River (feat. Ed Sheeran)","Bam Bam (feat. Ed Sheeran)",0.56
"Leave a Light On","Light On",0.55
"Boo'd Up",Up,0.55
"Goodbyes (feat. Young Thug)","pushin P (feat. Young Thug)",0.52
"Old Town Road - Remix","Old Town Road",0.51
"10,000 Hours (with Justin Bieber)","STAY (with Justin Bieber)",0.51
"10,000 Hours (with Justin Bieber)","STAY (with Justin Bieber)",0.51
Falling,"Falling Back",0.56
"Stuck with U (with Justin Bieber)","STAY (with Justin Bieber)",0.53
"Stuck with U (with Justin Bieber)","STAY (with Justin Bieber)",0.53
"Save Your Tears (with Ariana Grande) (Remix)","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track",0.73
"late at night","Late Night Talking",0.63
